country;toa;
Afghanistan;1931;
Albania;1913;
Algeria;1962;
American Samoa;;
Andorra;1993;
Angola;1975;
Anguilla;;
Argentina;1884;
Armenia;1920;
Australia;1880;
Austria;1869;
Azerbaijan;1920;
Bahrain;1973;
Bangladesh;1990;
Belarus;1926;
Belgium;1914;
Belize;1915;
Benin;1972;
Bermuda;;
Bhutan;9999;
Bolivia;1955;
Bosnia and Herzegovina;1910;
Botswana;9999;
Brazil;1935;
Brunei Darussalam;2007;
Bulgaria;1879;
Burkina Faso;1996;
Burundi;NA;
Cambodia;1906;
Cameroon;1993;
Canada;1871;
Cape Verde;1980;
Central African Republic;1984;
Chad;1960;
ChannelIslands;;
Chile;1920;
China;1901;
China, Hong Kong Special Administrative Region;1971;
China, Macao Special Administrative Region;;
Colombia;1870;
Comoros;;
Congo;1990;
Cook Islands;;
Costa Rica;1869;
Côte d’ Ivoire;2015;
Croatia;1874;   
Cuba;1842;
Cyprus;1962;
Czech Republic;1774;
Czechoslovakia;1774;
Democratic Republic of the Congo;1960;
Denmark;1814;
Djibouti;2000;
Dominican Republic;1966;
East-Timor;1976;
Ecuador;1897;
Egypt;1953;
El Salvador;1983;
Equatorial Guinea;1959;
Eritrea;1993;
Estonia;1920;
Ethiopia;9999;
Faeroe Islands;;
Falkland Islands (Malvinas);;
Fiji;9999;
Finland;1921;
France;1882;
French Guiana;;
French Polynesia;;
Gabon;1966;
Gambia;9999;
Georgia;1920;
Germany;1763;
Ghana;1951;
Gibraltar;1917;
Greece;1834;
Greenland;;
Guam;;
Guatemala;1825;
Guinea;1958;
Guinea-Bissau;1974;
Guyana;1876;
Haiti;1852;
Holy See;;
Honduras;1966;
Hungary;1848;
Iceland;1907;
India;1949;
Indonesia;1973;
Iran;1911;
Iraq;1940;
Ireland;1892;
Isle of Man;;
Israel;1949;
Italy;1861;
Jamaica;1973;
Japan;1872;
Jordan;1952;
Kazakhstan;1918;
Kenya;2003;
Eswatini;9999;
Kiribati;;
Kuwait;1962;
Kyrgyzstan;1924;
Lao People's Democratic Republic;1996;
Latvia;1919;
Lebanon;1989;
Lesotho;2010;
Liberia;2001;
Libya;1951;
Liechtenstein;1805;
Lithuania;1940;
Luxembourg;1912;
Madagascar;1968;
Malawi;1994;
Malaysia;2002;
Maldives;;
Mali;1992;
Malta;1946;
Marshall Islands;;
Mauritania;2001;
Mauritius;1993;
Mayotte;;
Mexico;1917;
Micronesia (FederatedStatesof);;
Moldova;1918;
Monaco;;
Mongolia;1925;
Montenegro;1918;
Morocco;1963;
Mozambique;1964;
Myanmar;1974;
Namibia;1953;
Nauru;;
Nepal;;
Netherlands;1900;
New Caledonia;;
New Zealand;1877;
Nicaragua;1980;
Niger;NA;
Nigeria;1976;
Niue;;
North Korea;1949;
Northern Mariana Islands;;
Norway;1739;
Oman;9999;
Pakistan;1973;
Palau;;
Palestine;NA;
Panama;1941;
Papua New Guinea;9999;
Paraguay;1870;
Peru;1905;
Philippines;1863;
Poland;1919;
Portugal;1844;
Qatar;2001;
Republic of Korea;1948;
Réunion;;
Romania;1864;
Russian Federation;1918;
Rwanda;1899;
Saint Helena;;
Saint Pierre and Miquelon;;
Samoa;1994;
San Marino;;
Sao Tome and Principe;;
Saudi Arabia;1925;
Senegal;2004;
Serbia;1882;
Seychelles;1981;
Sierra Leone;2003;
Singapore;2000;
Slovakia;1774;
Slovenia;1882;
Solomon Islands;9999;
Somalia;1975;
South Africa;1953;
South Sudan;NA;
Spain;1857;
Sri Lanka;1997;
Sudan;1992;
Suriname;1987;
Sweden;1842;
Switzerland;1874;
Syria;1973;
Taiwan;1943;
Tajikistan;1918;
Tanzania;1964;
Thailand;1921;
The former Yugoslav Republic of Macedonia;1882;
Togo;1968;
Tokelau;;
Tonga;;
Trinidad and Tobago;1921;
Tunisia;1958;
Turkey;1924;
Turkmenistan;1920;
Tuvalu;;
Uganda;1967;
Ukraine;1923;
United Arab Emirates;1971;
United Kingdom of Great Britain and Northern Ireland;1880;
United States of America;1852;
Uruguay;1877;
Uzbekistan;1920;
Vanuatu;;
Venezuela;1870;
Vietnam;1967;
Wallis and Futuna Islands;;
Western Sahara;;
Yemen;1991;
Zambia;1966;
Zimbabwe;1938;
